Id,House Type,Zone,LotFrontage,LotArea,Street,Alley Type,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Type of Dwelling,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Roof Material,Exterior Quality,Exterior Condition,BsmtQual,BsmtCond,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical System,1stFlrSF,2ndFlrSF,Above Ground Living Area,KitchenQual,Total Rm above Ground,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,CompShg,Gd,TA,Gd,TA,150,856,GasA,Ex,Y,SBrkr,856,854,1710,Gd,8,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,2,2008,WD,Normal,208500
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,1Fam,1Story,6,8,1976,1976,Gable,CompShg,TA,TA,Gd,TA,284,1262,GasA,Ex,Y,SBrkr,1262,0,1262,TA,6,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,5,2007,WD,Normal,181500
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,CompShg,Gd,TA,Gd,TA,434,920,GasA,Ex,Y,SBrkr,920,866,1786,Gd,6,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,9,2008,WD,Normal,223500
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,CompShg,TA,TA,TA,Gd,540,756,GasA,Gd,Y,SBrkr,961,756,1717,Gd,7,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,CompShg,Gd,TA,Gd,TA,490,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,Gd,9,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,12,2008,WD,Normal,250000
6,50,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,TA,TA,Gd,TA,64,796,GasA,Ex,Y,SBrkr,796,566,1362,TA,5,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,10,2009,WD,Normal,143000
7,20,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,1Story,8,5,2004,2005,Gable,CompShg,Gd,TA,Ex,TA,317,1686,GasA,Ex,Y,SBrkr,1694,0,1694,Gd,7,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,8,2007,WD,Normal,307000
8,60,RL,0,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,CompShg,TA,TA,Gd,TA,216,1107,GasA,Ex,Y,SBrkr,1107,983,2090,TA,7,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,11,2009,WD,Normal,200000
9,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,TA,TA,TA,TA,952,952,GasA,Gd,Y,FuseF,1022,752,1774,TA,8,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,4,2008,WD,Abnorml,129900
10,190,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,TA,TA,TA,TA,140,991,GasA,Ex,Y,SBrkr,1077,0,1077,TA,5,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,1,2008,WD,Normal,118000
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,CompShg,TA,TA,TA,TA,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,TA,5,0,NA,Detchd,1965,Unf,1,384,TA,TA,Y,2,2008,WD,Normal,129500
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,CompShg,Ex,TA,Ex,TA,177,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,Ex,11,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,7,2006,New,Partial,345000
